,pearsons,spearmans,dataset
285,0.20900451014068772,0.342737810436384,Train
286,0.4395264066684815,0.6376521087644275,Train
287,-0.30477302525670225,-0.10199053950621684,Train
288,0.35162147852078207,0.40633346192815095,Train
289,0.13642949028749685,0.029553821810048866,Train
290,0.19036471372803965,0.4236504407928114,Train
291,0.4023178947070425,0.3781119736825574,Train
292,0.07274478398962364,0.016953266005022685,Train
293,-0.22249040830940692,-0.35718149640994373,Train
294,0.43664302883140893,0.48244222474496573,Train
295,0.4465948661425776,0.3022903667500824,Train
296,-0.3308125758024892,-0.48867250203396645,Train
297,0.05220016390931183,0.16365886893065804,Train
298,0.48033181585262785,0.4831825128051906,Train
299,0.5276806667359328,0.5786868167557351,Train
300,0.15305319280946586,0.2398747396840489,Train
301,-0.2397640034405194,-0.2781195525732087,Train
302,0.2522772911584516,0.272096332098894,Train
303,0.4834169688909138,0.34600201860589025,Train
304,0.7000623570279669,0.8029968470171008,Train
305,0.3919564665874645,0.341450068112776,Train
306,0.12403995775121125,0.32006292793356644,Train
307,-0.12343605664452706,-0.11862729925005,Train
308,0.5057455168537315,0.38703375996014777,Train
309,0.42756075914767117,0.2968949784689726,Train
310,-0.12860723475250874,-0.1250492290213374,Train
311,0.09831585906464305,0.06569368936883448,Train
312,-0.1422177789396611,-0.14937186143034642,Train
313,0.10804515147470165,0.20468419028543464,Train
314,0.24517661572473304,-0.07989361065163712,Train
315,0.18751265389964833,0.17522108329998667,Train
316,0.30724114428855054,0.1756032160048608,Train
317,0.08007645552173023,-0.03169247529914591,Train
318,0.28673444343443355,0.31369907207031394,Train
319,0.7750524441994104,0.6669722375595685,Train
320,-0.5168054570031726,-0.43518503112781315,Train
321,0.5356000585619771,0.2229213854876185,Train
322,0.28137837492140855,0.303647172460139,Train
323,0.48145530926631425,0.5012843118995987,Train
324,0.1199793336919171,0.15803814173185846,Train
325,0.8661103487470654,0.8419327006757926,Train
326,0.7238930809487327,0.7205666730178901,Train
327,0.3485863083529133,0.5078581420378658,Train
328,0.2584516126037258,0.32035118771151977,Train
329,0.3594600973058222,0.33503120455559054,Train
330,-0.021161450765310633,0.07202344414836435,Train
331,0.2123596027975393,0.18720913210822493,Train
332,0.25012078065373766,0.2792246558964895,Train
333,0.4329310009850893,0.5910966145443662,Train
334,0.5775614702882597,0.5038731869188515,Train
335,0.6647936160200063,0.6229779212352752,Train
336,0.23046309886387922,0.19749142793012261,Train
337,0.24000314363212927,0.16411887043063195,Train
338,0.293347824312981,0.43222121432895905,Train
339,0.30851349996732147,0.32062825727506006,Train
